symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
ETHUSDT,2026-03-27T09:00:00+00:00,bearish,2047.13,2046.720574,2076.50472,1994.2555040000004,0.02553215826397682,0.7519,"['be_50%@2431', {'type': 'tp1', 'contracts': np.float64(0.01531929495838609), 'price': np.float64(1994.2555040000004), 'pnl': np.float64(0.8037278823423694), 'comm': np.float64(0.01527529414408046)}, {'type': 'sl_rem', 'contracts': np.float64(0.010212863305590729), 'price': np.float64(2046.7205740000002), 'pnl': np.float64(0.0), 'comm': np.float64(0.010451438723501098)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=42.89618949197346 WR=-64.89303346132702 ST=bearish Veto=False,100
ETHUSDT,2026-04-02T21:00:00+00:00,bearish,2066.42,2066.006716,2078.3083199999996,2045.0210240000008,0.06356146571971671,0.6694,"['be_50%@4301', {'type': 'tp1', 'contracts': np.float64(0.03813687943183003), 'price': np.float64(2045.0210240000008), 'pnl': np.float64(0.8003288055975015), 'comm': np.float64(0.03899536011392281)}, {'type': 'sl_rem', 'contracts': np.float64(0.025424586287886686), 'price': np.float64(2066.0067160000003), 'pnl': np.float64(0.0), 'comm': np.float64(0.026263683011147707)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=50.113360912039404 WR=-59.0839694656476 ST=bullish Veto=False,100
ETHUSDT,2026-04-02T22:00:00+00:00,bearish,2064.75,2064.33705,2078.3083199999996,2040.3450240000006,0.05610279321531721,-0.1158,"['be_50%@4329', {'type': 'sl_full', 'contracts': np.float64(0.05610279321531721), 'price': np.float64(2064.33705), 'pnl': np.float64(0.0), 'comm': np.float64(0.05790753732143397)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=52.92067141003798 WR=-39.79094076655103 ST=bearish Veto=False,91
ETHUSDT,2026-04-02T23:00:00+00:00,bearish,2059.95,2059.53801,2075.75322,2031.5042039999994,0.04807824039956708,-0.099,"['be_50%@4341', {'type': 'sl_full', 'contracts': np.float64(0.04807824039956708), 'price': np.float64(2059.5380099999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.04950948177841299)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.34660282606354 WR=-43.77192982456313 ST=bearish Veto=False,91
ETHUSDT,2026-04-03T04:00:00+00:00,bullish,2055.49,2055.901098,2036.57868,2089.5303759999993,0.08027449887375325,-0.165,"['be_50%@4411', {'type': 'sl_full', 'contracts': np.float64(0.08027449887375325), 'price': np.float64(2055.901098), 'pnl': np.float64(0.0), 'comm': np.float64(0.08251821518797453)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=57.57670035275299 WR=-23.47354138398974 ST=bearish Veto=False,95
ETHUSDT,2026-04-03T05:00:00+00:00,bullish,2055.61,2056.021122,2039.44294,2084.7107080000005,0.09374748343765059,-0.1927,"['be_50%@4411', {'type': 'sl_full', 'contracts': np.float64(0.09374748343765059), 'price': np.float64(2056.021122), 'pnl': np.float64(0.0), 'comm': np.float64(0.0963734030410774)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=56.640304344439365 WR=-24.57912457912434 ST=bearish Veto=False,95
ETHUSDT,2026-04-03T06:00:00+00:00,bullish,2055.87,2056.281174,2043.2552999999998,2078.57646,0.11991803114574914,-0.2466,"['be_50%@4406', {'type': 'sl_full', 'contracts': np.float64(0.11991803114574914), 'price': np.float64(2056.2811739999997), 'pnl': np.float64(0.0), 'comm': np.float64(0.12329259493407478)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=50.949299896878934 WR=-50.55136390017427 ST=bearish Veto=False,95
ETHUSDT,2026-04-03T07:00:00+00:00,bullish,2063.15,2063.56263,2043.2552999999998,2098.9604600000007,0.07585091555269735,-0.1565,"['be_50%@4470', {'type': 'sl_full', 'contracts': np.float64(0.07585091555269735), 'price': np.float64(2063.56263), 'pnl': np.float64(0.0), 'comm': np.float64(0.07826155739291601)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=49.77306120904893 WR=-29.750644883920927 ST=bearish Veto=False,95
ETHUSDT,2026-04-10T08:00:00+00:00,bullish,2177.92,2178.355584,2172.0472,2188.4910400000003,0.2565528134662268,3.0797,"['be_50%@6436', {'type': 'tp1', 'contracts': np.float64(0.1539316880797361), 'price': np.float64(2188.4910400000003), 'pnl': np.float64(1.560167851537956), 'comm': np.float64(0.16843906006728865)}, {'type': 'tp2', 'contracts': np.float64(0.10262112538649074), 'price': np.float64(2198.6264960000008), 'pnl': np.float64(2.0802238020506083), 'comm': np.float64(0.11281276266203842)}]",tp2_reached,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=43.185452028440736 WR=-87.51027115858692 ST=bearish Veto=False,100
ETHUSDT,2026-04-10T09:00:00+00:00,bullish,2188.47,2188.907694,2172.0472,2218.0310399999994,0.0945562867467088,3.6464,"['be_50%@6469', {'type': 'tp1', 'contracts': np.float64(0.05673377204802527), 'price': np.float64(2218.0310399999994), 'pnl': np.float64(1.6522772732397604), 'comm': np.float64(0.06291863370940219)}, {'type': 'tp2', 'contracts': np.float64(0.03782251469868352), 'price': np.float64(2247.1543859999992), 'pnl': np.float64(2.203036364319681), 'comm': np.float64(0.042496514897348056)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=43.450446535356846 WR=-12.15715344699999 ST=bullish Veto=False,100
